"","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"1",1,1,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2010",19.294142814547,1033.68222945394,-2006.68579837424,2045.27408400334
"2",2,2,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2017",20.5021021582427,1515.11462479317,-2949.06799488628,2990.07219920277
"3",3,3,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2019",19.3032500545708,984.163520304059,-1909.62180463954,1948.22830474868
"4",4,4,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2021",18.6698011643992,818.442496703467,-1585.44801579144,1622.78761812024
"5",5,5,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2022",19.3882892788821,1178.71075317307,-2290.84233513041,2329.61891368818
"6",6,6,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","08_3","factor(year)2023",20.7219851298878,2760.20465578491,-5389.17973016831,5430.62370042809
"7",7,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2010",19.2767933420732,1229.01600920612,-2389.55032112507,2428.10390780922
"8",8,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2017",18.9105568466926,1017.48403424424,-1975.32150511654,2013.14261880993
"9",9,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2019",19.4302479904439,405.62376846683,-775.577729477957,814.438225458845
"10",10,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2021",19.3040797116746,926.314321675623,-1796.2386291362,1834.84678855955
"11",11,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2022",18.2405642935318,704.57926918315,-1362.70942755899,1399.19055614606
"12",12,NA,"NBS","Alaska plaice",10285,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","alaska_plaice","1_1","factor(year)2023",19.618046560547,NA,NA,NA
"13",1,1,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2010",16.3462950794994,553.431863094163,-1068.36022448196,1101.05281464096
"14",2,2,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2017",16.5768774036526,926.417231529639,-1799.16753105174,1832.32128585905
"15",3,3,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2019",17.674688373115,1468.70071236334,-2860.92581192736,2896.27518867359
"16",4,4,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2021",16.8242174626122,636.158380593675,-1230.02329696431,1263.67173188954
"17",5,5,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2022",16.4242015426162,744.27083443252,-1442.3198286887,1475.16823177393
"18",6,6,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","08_3","factor(year)2023",16.8242197687725,930.624021697921,-1807.16534590697,1840.81378544452
"19",7,NA,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","1_1","factor(year)2010",17.0726531517094,998.779838688297,-1940.49985916208,1974.6451654655
"20",8,NA,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","1_1","factor(year)2017",17.596254621632,1277.44688902774,-2486.15364003547,2521.34614927873
"21",9,NA,"NBS","blue king crab",69323,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","blue_king_crab","1_1","factor(year)2019",17.5107287945205,1533.58886266148,-2988.26820911372,3023.28966670276
